"Month"	"Temperature"	"Year"	"nMonth"	"Date"	"Time"
"397"	"Feb"	0.5	1698	2	"1698-02-15"	-99.3
"1111"	"Apr"	7.5	1698	4	"1698-04-15"	-99.241
"1825"	"Jun"	12	1698	6	"1698-06-15"	-99.18
"2182"	"Jul"	15	1698	7	"1698-07-15"	-99.15
"2539"	"Aug"	15	1698	8	"1698-08-15"	-99.119
"2896"	"Sep"	13	1698	9	"1698-09-15"	-99.088
"3610"	"Nov"	4	1698	11	"1698-11-15"	-99.027
"41"	"Jan"	3.4	1699	1	"1699-01-15"	-98.966
"398"	"Feb"	3.4	1699	2	"1699-02-15"	-98.935
"1112"	"Apr"	6.4	1699	4	"1699-04-15"	-98.876
"1826"	"Jun"	14.4	1699	6	"1699-06-15"	-98.815
"2183"	"Jul"	17.2	1699	7	"1699-07-15"	-98.785
"2540"	"Aug"	15	1699	8	"1699-08-15"	-98.754
"2897"	"Sep"	13.3	1699	9	"1699-09-15"	-98.723
"3611"	"Nov"	5.6	1699	11	"1699-11-15"	-98.662
"42"	"Jan"	3.9	1700	1	"1700-01-15"	-98.601
"399"	"Feb"	2.5	1700	2	"1700-02-15"	-98.57
"1113"	"Apr"	6.4	1700	4	"1700-04-15"	-98.511
"1827"	"Jun"	13.6	1700	6	"1700-06-15"	-98.45
"2184"	"Jul"	15	1700	7	"1700-07-15"	-98.42
"2541"	"Aug"	15	1700	8	"1700-08-15"	-98.389
"2898"	"Sep"	12.8	1700	9	"1700-09-15"	-98.358
"3612"	"Nov"	5	1700	11	"1700-11-15"	-98.297
"43"	"Jan"	2.8	1701	1	"1701-01-15"	-98.236
"400"	"Feb"	2.5	1701	2	"1701-02-15"	-98.205
"1114"	"Apr"	4.7	1701	4	"1701-04-15"	-98.146
"1828"	"Jun"	14.2	1701	6	"1701-06-15"	-98.085
"2185"	"Jul"	18.3	1701	7	"1701-07-15"	-98.055
"2542"	"Aug"	16.1	1701	8	"1701-08-15"	-98.024
"2899"	"Sep"	14.7	1701	9	"1701-09-15"	-97.993
"3613"	"Nov"	6.4	1701	11	"1701-11-15"	-97.932
"44"	"Jan"	5	1702	1	"1702-01-15"	-97.871
"401"	"Feb"	6.7	1702	2	"1702-02-15"	-97.84
"1115"	"Apr"	5.8	1702	4	"1702-04-15"	-97.781
"1829"	"Jun"	13.3	1702	6	"1702-06-15"	-97.72
"2186"	"Jul"	15	1702	7	"1702-07-15"	-97.69
"2543"	"Aug"	16.1	1702	8	"1702-08-15"	-97.659
"2900"	"Sep"	14.4	1702	9	"1702-09-15"	-97.628
"3614"	"Nov"	4.4	1702	11	"1702-11-15"	-97.567
"45"	"Jan"	2.2	1703	1	"1703-01-15"	-97.506
"402"	"Feb"	3.9	1703	2	"1703-02-15"	-97.475
"1116"	"Apr"	8.3	1703	4	"1703-04-15"	-97.416
"1830"	"Jun"	13.9	1703	6	"1703-06-15"	-97.355
"2187"	"Jul"	16.1	1703	7	"1703-07-15"	-97.325
"2544"	"Aug"	16.1	1703	8	"1703-08-15"	-97.294
"2901"	"Sep"	10.6	1703	9	"1703-09-15"	-97.263
"3615"	"Nov"	7.2	1703	11	"1703-11-15"	-97.202
"46"	"Jan"	2	1704	1	"1704-01-15"	-97.141
"403"	"Feb"	3.3	1704	2	"1704-02-15"	-97.11
"1117"	"Apr"	8.3	1704	4	"1704-04-15"	-97.05
"1831"	"Jun"	14.4	1704	6	"1704-06-15"	-96.989
"2188"	"Jul"	16.7	1704	7	"1704-07-15"	-96.959
"2545"	"Aug"	16.9	1704	8	"1704-08-15"	-96.928
"2902"	"Sep"	11.9	1704	9	"1704-09-15"	-96.897
"3616"	"Nov"	6.4	1704	11	"1704-11-15"	-96.836
"47"	"Jan"	2.8	1705	1	"1705-01-15"	-96.775
"404"	"Feb"	3.9	1705	2	"1705-02-15"	-96.744
"1118"	"Apr"	7.8	1705	4	"1705-04-15"	-96.685
"1832"	"Jun"	12.2	1705	6	"1705-06-15"	-96.624
"2189"	"Jul"	15.6	1705	7	"1705-07-15"	-96.594
"2546"	"Aug"	17.5	1705	8	"1705-08-15"	-96.563
"2903"	"Sep"	11.9	1705	9	"1705-09-15"	-96.532
"3617"	"Nov"	3.9	1705	11	"1705-11-15"	-96.471
"48"	"Jan"	2.8	1706	1	"1706-01-15"	-96.41
"405"	"Feb"	4.2	1706	2	"1706-02-15"	-96.379
"1119"	"Apr"	8.9	1706	4	"1706-04-15"	-96.32
"1833"	"Jun"	15.6	1706	6	"1706-06-15"	-96.259
"2190"	"Jul"	16.1	1706	7	"1706-07-15"	-96.229
"2547"	"Aug"	16.7	1706	8	"1706-08-15"	-96.198
"2904"	"Sep"	12.5	1706	9	"1706-09-15"	-96.167
"3618"	"Nov"	6.1	1706	11	"1706-11-15"	-96.106
"49"	"Jan"	3.5	1707	1	"1707-01-15"	-96.045
"406"	"Feb"	3	1707	2	"1707-02-15"	-96.014
"1120"	"Apr"	8.5	1707	4	"1707-04-15"	-95.955
"1834"	"Jun"	16	1707	6	"1707-06-15"	-95.894
"2191"	"Jul"	17	1707	7	"1707-07-15"	-95.864
"2548"	"Aug"	16	1707	8	"1707-08-15"	-95.833
"2905"	"Sep"	14	1707	9	"1707-09-15"	-95.802
"3619"	"Nov"	6.5	1707	11	"1707-11-15"	-95.741
"50"	"Jan"	6	1708	1	"1708-01-15"	-95.68
"407"	"Feb"	4	1708	2	"1708-02-15"	-95.649
"1121"	"Apr"	9.5	1708	4	"1708-04-15"	-95.589
"1835"	"Jun"	14	1708	6	"1708-06-15"	-95.528
"2192"	"Jul"	15	1708	7	"1708-07-15"	-95.498
"2549"	"Aug"	17	1708	8	"1708-08-15"	-95.467
"2906"	"Sep"	15	1708	9	"1708-09-15"	-95.436
"3620"	"Nov"	7	1708	11	"1708-11-15"	-95.375
"51"	"Jan"	-1.5	1709	1	"1709-01-15"	-95.314
"408"	"Feb"	2	1709	2	"1709-02-15"	-95.283
"1122"	"Apr"	9	1709	4	"1709-04-15"	-95.224
"1836"	"Jun"	14.5	1709	6	"1709-06-15"	-95.163
"2193"	"Jul"	15.5	1709	7	"1709-07-15"	-95.133
"2550"	"Aug"	15.5	1709	8	"1709-08-15"	-95.102
"2907"	"Sep"	13.5	1709	9	"1709-09-15"	-95.071
"3621"	"Nov"	7.5	1709	11	"1709-11-15"	-95.01
"52"	"Jan"	2.5	1710	1	"1710-01-15"	-94.949
"409"	"Feb"	3.5	1710	2	"1710-02-15"	-94.918
"1123"	"Apr"	6.5	1710	4	"1710-04-15"	-94.859
"1837"	"Jun"	14.5	1710	6	"1710-06-15"	-94.798
"2194"	"Jul"	15	1710	7	"1710-07-15"	-94.768
"2551"	"Aug"	15.5	1710	8	"1710-08-15"	-94.737
"2908"	"Sep"	13.5	1710	9	"1710-09-15"	-94.706
"3622"	"Nov"	8	1710	11	"1710-11-15"	-94.645
"53"	"Jan"	5	1711	1	"1711-01-15"	-94.584
"410"	"Feb"	2	1711	2	"1711-02-15"	-94.553
"1124"	"Apr"	9.5	1711	4	"1711-04-15"	-94.494
"1838"	"Jun"	15.5	1711	6	"1711-06-15"	-94.433
"2195"	"Jul"	15.5	1711	7	"1711-07-15"	-94.403
"2552"	"Aug"	15	1711	8	"1711-08-15"	-94.372
"2909"	"Sep"	13	1711	9	"1711-09-15"	-94.341
